VTX, IDX, inPosition.x, inPosition.y, inPosition.z, inColor.x, inColor.y, inColor.z, inColor.w
7317, 7317, 99.845, 1.80375, -431.5878, -431.5878, 0.00, 1.00, 1.00
7318, 7318, 99.85876, 1.96769, -430.69589, -430.69589, 0.00, 1.00, 1.00
7319, 7319, 99.85876, 1.80375, -430.69589, -430.69589, 0.00, 1.00, 1.00
7320, 7320, 314.01538, 90.34731, 43.49414, 43.49414, 0.00, 1.00, 1.00
7321, 7321, 313.15363, 90.34731, 43.26363, 43.26363, 0.00, 1.00, 1.00
7322, 7322, 313.15363, 90.34731, 43.26363, 43.26363, 0.00, 1.00, 1.00
7323, 7323, 313.36292, 90.34731, 42.48125, 42.48125, 0.00, 1.00, 1.00
7324, 7324, 313.36292, 90.34731, 42.48125, 42.48125, 0.00, 1.00, 1.00
7325, 7325, 314.22467, 90.34731, 42.71177, 42.71177, 0.00, 1.00, 1.00
7326, 7326, 314.22467, 90.34731, 42.71177, 42.71177, 0.00, 1.00, 1.00
7327, 7327, 314.01538, 90.34731, 43.49414, 43.49414, 0.00, 1.00, 1.00
7328, 7328, 314.01538, 90.18337, 43.49414, 43.49414, 0.00, 1.00, 1.00
7329, 7329, 313.15363, 90.18337, 43.26363, 43.26363, 0.00, 1.00, 1.00
7330, 7330, 313.15363, 90.18337, 43.26363, 43.26363, 0.00, 1.00, 1.00
7331, 7331, 313.36292, 90.18337, 42.48125, 42.48125, 0.00, 1.00, 1.00
7332, 7332, 313.36292, 90.18337, 42.48125, 42.48125, 0.00, 1.00, 1.00
7333, 7333, 314.22467, 90.18337, 42.71177, 42.71177, 0.00, 1.00, 1.00
7334, 7334, 314.22467, 90.18337, 42.71177, 42.71177, 0.00, 1.00, 1.00
7335, 7335, 314.01538, 90.18337, 43.49414, 43.49414, 0.00, 1.00, 1.00
7336, 7336, 314.01538, 90.34731, 43.49414, 43.49414, 0.00, 1.00, 1.00
7337, 7337, 314.01538, 90.18337, 43.49414, 43.49414, 0.00, 1.00, 1.00
7338, 7338, 313.15363, 90.34731, 43.26363, 43.26363, 0.00, 1.00, 1.00
7339, 7339, 313.15363, 90.18337, 43.26363, 43.26363, 0.00, 1.00, 1.00
7340, 7340, 313.36292, 90.34731, 42.48125, 42.48125, 0.00, 1.00, 1.00
7341, 7341, 313.36292, 90.18337, 42.48125, 42.48125, 0.00, 1.00, 1.00
7342, 7342, 314.22467, 90.34731, 42.71177, 42.71177, 0.00, 1.00, 1.00
7343, 7343, 314.22467, 90.18337, 42.71177, 42.71177, 0.00, 1.00, 1.00
7344, 7344, 131.49565, 64.6489, 49.57526, 49.57526, 0.00, 1.00, 1.00
7345, 7345, 130.76515, 64.6489, 50.08721, 50.08721, 0.00, 1.00, 1.00
7346, 7346, 130.76515, 64.6489, 50.08721, 50.08721, 0.00, 1.00, 1.00
7347, 7347, 130.30034, 64.6489, 49.42398, 49.42398, 0.00, 1.00, 1.00
7348, 7348, 130.30034, 64.6489, 49.42398, 49.42398, 0.00, 1.00, 1.00
7349, 7349, 131.03084, 64.6489, 48.91203, 48.91203, 0.00, 1.00, 1.00
7350, 7350, 131.03084, 64.6489, 48.91203, 48.91203, 0.00, 1.00, 1.00
7351, 7351, 131.49565, 64.6489, 49.57526, 49.57526, 0.00, 1.00, 1.00
7352, 7352, 131.49565, 64.48495, 49.57526, 49.57526, 0.00, 1.00, 1.00
7353, 7353, 130.76515, 64.48495, 50.08721, 50.08721, 0.00, 1.00, 1.00
